Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational Option Type","NSLP Provision Status","Charter School (Y/N)","Charter School Number","Charter Funding Type",IRC,Low Grade,High Grade,"Enrollment (K-12)","Free Meal Count (K-12)","Percent (%) Eligible Free (K-12)","FRPM Count (K-12)","Percent (%) Eligible FRPM (K-12)","Enrollment (Ages 5-17)","Free Meal Count (Ages 5-17)","Percent (%) Eligible Free (Ages 5-17)","FRPM Count (Ages 5-17)","Percent (%) Eligible FRPM (Ages 5-17)","2013-14 CALPADS Fall 1 Certification Status"
2014-2015,1,10017,109835,Alameda,Alameda County Office of Education,FAME Public Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,,Y,728,Directly funded,Y,K,12,1087,565,52%,715,65.8%,1070,553,51.7%,702,65.6%,Y
2014-2015,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Y,811,Directly funded,Y,9,12,395,186,47.1%,186,47.1%,376,182,48.4%,182,48.4%,Y
2014-2015,1,10017,118489,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,County Office of Education (COE),High Schools (Public),Traditional,,Y,1049,Directly funded,Y,9,12,244,134,54.9%,175,71.7%,230,128,55.7%,168,73%,Y
2014-2015,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Breakfast Provision 2,Y,1284,Directly funded,Y,K,8,191,113,59.2%,139,72.8%,190,113,59.5%,139,73.2%,Y
2014-2015,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1296,Directly funded,Y,K,8,257,14,5.4%,21,8.2%,257,14,5.4%,21,8.2%,Y
2014-2015,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1383,Directly funded,Y,K,8,279,81,29%,101,36.2%,273,78,28.6%,98,35.9%,Y
2014-2015,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,N,,,N,K,12,181,71,39.2%,73,40.3%,160,66,41.3%,68,42.5%,Y
2014-2015,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,N,,,N,K,12,277,190,68.6%,223,80.5%,221,145,65.6%,172,77.8%,Y
2014-2015,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,740,Directly funded,Y,K,5,597,493,82.6%,557,93.3%,586,483,82.4%,546,93.2%,Y
2014-2015,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2,Y,1464,Directly funded,Y,K,8,437,336,76.9%,400,91.5%,437,336,76.9%,400,91.5%,Y
2014-2015,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,,N,,,N,1,Adult,60,59,98.3%,59,98.3%,40,39,97.5%,39,97.5%,Y
2014-2015,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,Provision 2,N,,,N,P,12,410,403,98.3%,403,98.3%,335,330,98.5%,330,98.5%,Y
2014-2015,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,29,1,3.4%,1,3.4%,27,1,3.7%,1,3.7%,Y
2014-2015,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,170,39,22.9%,52,30.6%,167,38,22.8%,50,29.9%,Y
2014-2015,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,588,322,54.8%,398,67.7%,588,322,54.8%,398,67.7%,Y
2014-2015,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Y,1066,Directly funded,Y,K,12,476,117,24.6%,147,30.9%,470,115,24.5%,145,30.9%,Y
2014-2015,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1181,Directly funded,N,6,8,508,160,31.5%,193,38%,508,160,31.5%,193,38%,Y
2014-2015,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,8,321,114,35.5%,134,41.7%,312,111,35.6%,131,42%,Y
2014-2015,1,61119,128199,Alameda,Alameda Unified,Encinal Junior Jets,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,229,103,45%,128,55.9%,229,103,45%,128,55.9%,Y
2014-2015,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1746,320,18.3%,396,22.7%,1675,307,18.3%,378,22.6%,Y
2014-2015,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,High Schools (Public),Traditional,,Y,352,Directly funded,Y,6,12,376,35,9.3%,47,12.5%,374,33,8.8%,45,12%,Y
2014-2015,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,,Y,398,Directly funded,Y,9,12,161,123,76.4%,148,91.9%,142,110,77.5%,132,93%,Y
2014-2015,1,61119,132878,Alameda,Alameda Unified,Encinal High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1052,371,35.3%,447,42.5%,1003,349,34.8%,422,42.1%,Y
2014-2015,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,144,73,50.7%,83,57.6%,112,54,48.2%,63,56.3%,Y
2014-2015,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,519,127,24.5%,159,30.6%,504,123,24.4%,155,30.8%,Y
2014-2015,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,486,50,10.3%,58,11.9%,486,50,10.3%,58,11.9%,Y
2014-2015,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,588,74,12.6%,100,17%,588,74,12.6%,100,17%,Y
2014-2015,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,326,39,12%,50,15.3%,326,39,12%,50,15.3%,Y
2014-2015,1,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,452,214,47.3%,254,56.2%,432,207,47.9%,246,56.9%,Y
2014-2015,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,900,105,11.7%,139,15.4%,900,105,11.7%,139,15.4%,Y
2014-2015,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,439,187,42.6%,218,49.7%,439,187,42.6%,218,49.7%,Y
2014-2015,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,316,125,39.6%,140,44.3%,300,115,38.3%,130,43.3%,Y
2014-2015,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,622,42,6.8%,54,8.7%,608,41,6.7%,53,8.7%,Y
2014-2015,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,572,35,6.1%,45,7.9%,572,35,6.1%,45,7.9%,Y
2014-2015,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,0,0%,0,0%,1,0,0%,0,0%,Y
2014-2015,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,27,10,37%,15,55.6%,21,9,42.9%,14,66.7%,Y
2014-2015,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1195,166,13.9%,232,19.4%,1163,163,14%,228,19.6%,Y
2014-2015,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,570,58,10.2%,78,13.7%,570,58,10.2%,78,13.7%,Y
2014-2015,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,868,145,16.7%,188,21.7%,868,145,16.7%,188,21.7%,Y
2014-2015,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,523,54,10.3%,71,13.6%,523,54,10.3%,71,13.6%,Y
2014-2015,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,697,211,30.3%,247,35.4%,663,202,30.5%,236,35.6%,Y
2014-2015,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,32,10,31.3%,10,31.3%,24,8,33.3%,8,33.3%,Y
2014-2015,1,61143,122689,Alameda,Berkeley Unified,REALM Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1254,Directly funded,Y,6,8,310,182,58.7%,230,74.2%,310,182,58.7%,230,74.2%,Y
2014-2015,1,61143,122697,Alameda,Berkeley Unified,REALM Charter High,Unified School District,High Schools (Public),Traditional,,Y,1255,Directly funded,Y,9,12,361,223,61.8%,267,74%,350,216,61.7%,260,74.3%,Y
2014-2015,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,3182,804,25.3%,934,29.4%,3096,768,24.8%,895,28.9%,Y
